model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state,PAINT JOB,DRIVE TRAIN
Model 3,2017,67663,26500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$396 /mo,85209,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,31779,31300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$482 /mo,85209,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,67663,26500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$396 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,31779,31300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$482 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,67663,26500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$396 /mo,93311,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,31779,31300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$482 /mo,93311,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,43292,28400,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$430 /mo,85305,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,41503,29100,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$442 /mo,85305,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,46901,29500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$450 /mo,85305,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,49711,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,85305,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,49942,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,85305,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,32158,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,85305,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,29339,30600,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,18’’ Aero Wheels,$469 /mo,85305,All Black Partial Premium Interior,CA,Solid Black,100D AWD-Long Range
Model 3,2017,15154,31500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,18’’ Aero Wheels,$486 /mo,85305,All Black Partial Premium Interior,CA,Solid Black,100D AWD-Long Range
Model 3,2017,43292,28400,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$430 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,41503,29100,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$442 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,46901,29500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$450 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,49711,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
